run,model,step,reward,flag
1,9,15,433.0,False
1,9,16,391.0,False
1,9,17,652.0,False
1,9,18,443.0,False
1,9,19,386.0,False
1,9,20,952.0,False
1,9,21,257.0,False
1,9,22,378.0,False
1,9,23,897.0,False
1,9,24,257.0,False
1,9,25,258.0,False
1,9,26,443.0,False
1,9,27,257.0,False
1,9,28,255.0,False
1,9,29,365.0,False
1,9,30,275.0,False
1,9,31,263.0,False
1,9,32,940.0,False
1,9,33,275.0,False
1,9,34,386.0,False
1,9,35,259.0,False
1,9,36,399.0,False
1,9,37,628.0,False
1,9,38,458.0,False
1,9,39,431.0,False
1,9,40,258.0,False
1,9,41,257.0,False
1,9,42,457.0,False
1,9,43,448.0,False
1,9,44,275.0,False
1,9,45,445.0,False
1,9,46,451.0,False
1,9,47,833.0,False
1,9,48,436.0,False
1,9,49,457.0,False
1,9,50,442.0,False
1,9,51,432.0,False
1,9,52,535.0,False
1,9,53,556.0,False
1,9,54,724.0,False
1,9,55,437.0,False
1,9,56,457.0,False
1,9,57,368.0,False
1,9,58,724.0,False
1,9,59,455.0,False
1,9,60,258.0,False
1,9,61,950.0,False
1,9,62,443.0,False
1,9,63,258.0,False
1,9,64,258.0,False
1,9,65,1391.0,False
1,9,66,450.0,False
1,9,67,436.0,False
1,9,68,258.0,False
1,9,69,701.0,False
1,9,70,378.0,False
1,9,71,275.0,False
1,9,72,443.0,False
1,9,73,264.0,False
1,9,74,712.0,False
1,9,75,435.0,False
1,9,76,807.0,False
1,9,77,706.0,False
1,9,78,923.0,False
1,9,79,446.0,False
1,9,80,258.0,False
1,9,81,451.0,False
1,9,82,440.0,False
1,9,83,253.0,False
1,9,84,258.0,False
1,9,85,901.0,False
1,9,86,258.0,False
1,9,87,257.0,False
1,9,88,256.0,False
1,9,89,443.0,False
1,9,90,257.0,False
1,9,91,452.0,False
1,9,92,257.0,False
1,9,93,257.0,False
1,9,94,1412.0,False
1,9,95,254.0,False
1,9,96,642.0,False
1,9,97,364.0,False
1,9,98,377.0,False
1,9,99,258.0,False
1,9,100,438.0,False
1,10,1,258.0,False
1,10,2,620.0,False
1,10,3,370.0,False
1,10,4,258.0,False
1,10,5,622.0,False
1,10,6,439.0,False
1,10,7,387.0,False
1,10,8,556.0,False
1,10,9,655.0,False
1,10,10,257.0,False
1,10,11,257.0,False
1,10,12,258.0,False
1,10,13,1419.0,False
1,10,14,431.0,False
1,10,15,425.0,False
1,10,16,384.0,False
1,10,17,257.0,False
1,10,18,270.0,False
1,10,19,262.0,False
1,10,20,446.0,False
1,10,21,266.0,False
1,10,22,730.0,False
1,10,23,275.0,False
1,10,24,258.0,False
1,10,25,386.0,False
1,10,26,376.0,False
1,10,27,823.0,False
1,10,28,727.0,False
1,10,29,960.0,False
1,10,30,1398.0,False
1,10,31,448.0,False
1,10,32,361.0,False
1,10,33,257.0,False
1,10,34,1391.0,False
1,10,35,723.0,False
1,10,36,241.0,False
1,10,37,443.0,False
1,10,38,268.0,False
1,10,39,1332.0,False
1,10,40,241.0,False
1,10,41,750.0,False
1,10,42,553.0,False
1,10,43,365.0,False
1,10,44,257.0,False
1,10,45,440.0,False
1,10,46,453.0,False
1,10,47,552.0,False
1,10,48,959.0,False
1,10,49,903.0,False
1,10,50,570.0,False
1,10,51,258.0,False
1,10,52,259.0,False
1,10,53,554.0,False
1,10,54,443.0,False
1,10,55,263.0,False
1,10,56,257.0,False
1,10,57,258.0,False
1,10,58,443.0,False
1,10,59,363.0,False
1,10,60,552.0,False
1,10,61,714.0,False
1,10,62,402.0,False
1,10,63,386.0,False
1,10,64,258.0,False
1,10,65,436.0,False
1,10,66,438.0,False
1,10,67,435.0,False
1,10,68,543.0,False
1,10,69,252.0,False
1,10,70,75.0,False
1,10,71,547.0,False
1,10,72,275.0,False
1,10,73,257.0,False
1,10,74,363.0,False
1,10,75,257.0,False
1,10,76,449.0,False
1,10,77,536.0,False
1,10,78,254.0,False
1,10,79,452.0,False
1,10,80,258.0,False
1,10,81,443.0,False
1,10,82,449.0,False
1,10,83,261.0,False
1,10,84,696.0,False
1,10,85,452.0,False
1,10,86,437.0,False
1,10,87,257.0,False
1,10,88,257.0,False
1,10,89,265.0,False
1,10,90,267.0,False
1,10,91,259.0,False
1,10,92,745.0,False
1,10,93,257.0,False
1,10,94,389.0,False
1,10,95,419.0,False
1,10,96,258.0,False
1,10,97,958.0,False
1,10,98,359.0,False
1,10,99,369.0,False
1,10,100,265.0,False
2,1,1,240.0,False
2,1,2,276.0,False
2,1,3,259.0,False
2,1,4,556.0,False
2,1,5,241.0,False
2,1,6,265.0,False
2,1,7,258.0,False
2,1,8,450.0,False
2,1,9,389.0,False
2,1,10,258.0,False
2,1,11,258.0,False
2,1,12,258.0,False
2,1,13,241.0,False
2,1,14,553.0,False
2,1,15,264.0,False
2,1,16,824.0,False
2,1,17,389.0,False
2,1,18,275.0,False
2,1,19,242.0,False
2,1,20,275.0,False
2,1,21,275.0,False
2,1,22,259.0,False
2,1,23,271.0,False
2,1,24,915.0,False
2,1,25,818.0,False
2,1,26,258.0,False
2,1,27,369.0,False
2,1,28,377.0,False
2,1,29,910.0,False
2,1,30,816.0,False
2,1,31,263.0,False
2,1,32,276.0,False
2,1,33,370.0,False
2,1,34,258.0,False
2,1,35,268.0,False
2,1,36,258.0,False
2,1,37,270.0,False
2,1,38,275.0,False
2,1,39,275.0,False
2,1,40,241.0,False
2,1,41,724.0,False
2,1,42,956.0,False
2,1,43,385.0,False
2,1,44,241.0,False
2,1,45,818.0,False
2,1,46,258.0,False
2,1,47,271.0,False
2,1,48,385.0,False
2,1,49,275.0,False
2,1,50,241.0,False
2,1,51,257.0,False
2,1,52,258.0,False
2,1,53,258.0,False
2,1,54,258.0,False
2,1,55,275.0,False
2,1,56,836.0,False
2,1,57,258.0,False
2,1,58,256.0,False
2,1,59,240.0,False
2,1,60,450.0,False
2,1,61,241.0,False
